<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX,60,20210204,180000,158.1900000
MOEX,60,20210204,190000,157.8900000
MOEX,60,20210204,200000,157.9800000
MOEX,60,20210204,210000,158.1900000
MOEX,60,20210204,220000,158.5300000
MOEX,60,20210204,230000,158.7000000
MOEX,60,20210205,000000,158.6400000
MOEX,60,20210205,110000,158.7700000
MOEX,60,20210205,120000,159.0200000
MOEX,60,20210205,130000,158.9200000
MOEX,60,20210205,140000,158.9200000
MOEX,60,20210205,150000,158.8100000
MOEX,60,20210205,160000,158.8000000
MOEX,60,20210205,170000,158.0700000
MOEX,60,20210205,180000,157.7400000
MOEX,60,20210205,190000,157.5000000
MOEX,60,20210205,200000,157.9700000
MOEX,60,20210205,210000,158.1300000
MOEX,60,20210205,220000,158.2000000
MOEX,60,20210205,230000,158.1900000
MOEX,60,20210206,000000,158.2000000
MOEX,60,20210208,110000,159.3600000
MOEX,60,20210208,120000,158.9300000
MOEX,60,20210208,130000,159.0700000
MOEX,60,20210208,140000,159.2800000
MOEX,60,20210208,150000,159.1700000
MOEX,60,20210208,160000,160.4100000
MOEX,60,20210208,170000,160.3200000
MOEX,60,20210208,180000,160.8400000
MOEX,60,20210208,190000,160.7900000
MOEX,60,20210208,200000,160.9500000
MOEX,60,20210208,210000,160.9900000
MOEX,60,20210208,220000,160.6500000
MOEX,60,20210208,230000,160.8400000
MOEX,60,20210209,000000,161.3200000
MOEX,60,20210209,110000,163.8800000
MOEX,60,20210209,120000,162.3800000
MOEX,60,20210209,130000,163.3800000
MOEX,60,20210209,140000,163.7400000
MOEX,60,20210209,150000,163.7100000
MOEX,60,20210209,160000,164.7400000
MOEX,60,20210209,170000,164.1900000
MOEX,60,20210209,180000,164.5600000
MOEX,60,20210209,190000,164.8300000
MOEX,60,20210209,200000,163.8200000
MOEX,60,20210209,210000,164.0900000
MOEX,60,20210209,220000,164.0700000
MOEX,60,20210209,230000,164.0000000
MOEX,60,20210210,000000,164.0900000
MOEX,60,20210210,110000,164.0200000
MOEX,60,20210210,120000,162.2700000
MOEX,60,20210210,130000,162.2100000
MOEX,60,20210210,140000,162.2500000
MOEX,60,20210210,150000,162.3800000
MOEX,60,20210210,160000,161.2300000
MOEX,60,20210210,170000,161.2600000
MOEX,60,20210210,180000,160.8400000
MOEX,60,20210210,190000,160.4000000
MOEX,60,20210210,200000,161.0000000
MOEX,60,20210210,210000,161.0600000
MOEX,60,20210210,220000,161.0200000
MOEX,60,20210210,230000,161.0600000
MOEX,60,20210211,000000,160.7600000
MOEX,60,20210211,110000,161.3000000
MOEX,60,20210211,120000,160.9100000
MOEX,60,20210211,130000,161.1600000
MOEX,60,20210211,140000,161.1200000
MOEX,60,20210211,150000,160.8900000
MOEX,60,20210211,160000,161.0300000
MOEX,60,20210211,170000,161.0400000
MOEX,60,20210211,180000,161.1100000
MOEX,60,20210211,190000,160.6100000
MOEX,60,20210211,200000,160.6000000
MOEX,60,20210211,210000,160.2700000
MOEX,60,20210211,220000,160.3800000
MOEX,60,20210211,230000,160.2000000
MOEX,60,20210212,000000,160.1100000
MOEX,60,20210212,110000,159.0300000
MOEX,60,20210212,120000,159.2700000
MOEX,60,20210212,130000,159.5800000
MOEX,60,20210212,140000,159.6500000
MOEX,60,20210212,150000,159.3200000
MOEX,60,20210212,160000,160.9200000
MOEX,60,20210212,170000,161.6100000
MOEX,60,20210212,180000,162.7300000
MOEX,60,20210212,190000,163.3700000
MOEX,60,20210212,200000,162.8400000
MOEX,60,20210212,210000,162.8000000
MOEX,60,20210212,220000,162.7200000
MOEX,60,20210212,230000,162.9000000
MOEX,60,20210213,000000,163.2800000
MOEX,60,20210215,110000,164.0400000
MOEX,60,20210215,120000,164.2100000
