<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
SNGS,60,20210205,210000,33.8900000
SNGS,60,20210205,220000,33.8700000
SNGS,60,20210205,230000,33.8300000
SNGS,60,20210206,000000,33.8700000
SNGS,60,20210208,110000,34.1400000
SNGS,60,20210208,120000,34.0650000
SNGS,60,20210208,130000,34.2000000
SNGS,60,20210208,140000,34.2250000
SNGS,60,20210208,150000,34.2150000
SNGS,60,20210208,160000,34.2250000
SNGS,60,20210208,170000,34.3100000
SNGS,60,20210208,180000,34.4250000
SNGS,60,20210208,190000,34.4750000
SNGS,60,20210208,200000,34.4800000
SNGS,60,20210208,210000,34.4650000
SNGS,60,20210208,220000,34.4650000
SNGS,60,20210208,230000,34.4950000
SNGS,60,20210209,000000,34.5000000
SNGS,60,20210209,110000,34.2750000
SNGS,60,20210209,120000,34.1600000
SNGS,60,20210209,130000,34.1950000
SNGS,60,20210209,140000,34.0900000
SNGS,60,20210209,150000,34.0300000
SNGS,60,20210209,160000,34.0550000
SNGS,60,20210209,170000,33.9450000
SNGS,60,20210209,180000,33.9100000
SNGS,60,20210209,190000,33.9350000
SNGS,60,20210209,200000,33.9650000
SNGS,60,20210209,210000,33.9700000
SNGS,60,20210209,220000,34.0300000
SNGS,60,20210209,230000,34.1250000
SNGS,60,20210210,000000,34.1150000
SNGS,60,20210210,110000,34.0400000
SNGS,60,20210210,120000,34.0100000
SNGS,60,20210210,130000,34.0300000
SNGS,60,20210210,140000,33.9650000
SNGS,60,20210210,150000,33.9450000
SNGS,60,20210210,160000,33.8950000
SNGS,60,20210210,170000,34.0000000
SNGS,60,20210210,180000,33.9550000
SNGS,60,20210210,190000,33.6700000
SNGS,60,20210210,200000,33.7700000
SNGS,60,20210210,210000,33.7900000
SNGS,60,20210210,220000,33.8850000
SNGS,60,20210210,230000,33.8850000
SNGS,60,20210211,000000,33.7950000
SNGS,60,20210211,110000,33.7650000
SNGS,60,20210211,120000,33.7000000
SNGS,60,20210211,130000,33.6800000
SNGS,60,20210211,140000,33.6700000
SNGS,60,20210211,150000,33.6550000
SNGS,60,20210211,160000,33.6600000
SNGS,60,20210211,170000,33.7100000
SNGS,60,20210211,180000,33.8250000
SNGS,60,20210211,190000,33.8100000
SNGS,60,20210211,200000,33.6650000
SNGS,60,20210211,210000,33.6600000
SNGS,60,20210211,220000,33.6900000
SNGS,60,20210211,230000,33.6800000
SNGS,60,20210212,000000,33.6750000
SNGS,60,20210212,110000,33.5450000
SNGS,60,20210212,120000,33.3050000
SNGS,60,20210212,130000,33.3550000
SNGS,60,20210212,140000,33.4050000
SNGS,60,20210212,150000,33.2600000
SNGS,60,20210212,160000,33.4050000
SNGS,60,20210212,170000,33.3050000
SNGS,60,20210212,180000,33.3750000
SNGS,60,20210212,190000,33.5400000
SNGS,60,20210212,200000,33.6600000
SNGS,60,20210212,210000,33.6350000
SNGS,60,20210212,220000,33.6550000
SNGS,60,20210212,230000,33.6800000
SNGS,60,20210213,000000,33.7200000
SNGS,60,20210215,110000,33.9150000
SNGS,60,20210215,120000,33.9700000
SNGS,60,20210215,130000,34.0400000
SNGS,60,20210215,140000,33.9150000
SNGS,60,20210215,150000,33.9350000
SNGS,60,20210215,160000,33.9550000
SNGS,60,20210215,170000,33.9200000
SNGS,60,20210215,180000,33.9350000
SNGS,60,20210215,190000,34.0700000
SNGS,60,20210215,200000,34.0700000
SNGS,60,20210215,210000,34.0450000
SNGS,60,20210215,220000,34.0550000
SNGS,60,20210215,230000,34.0500000
SNGS,60,20210216,000000,34.0500000
SNGS,60,20210216,110000,33.9450000
SNGS,60,20210216,120000,34.0700000
SNGS,60,20210216,130000,33.9700000
SNGS,60,20210216,140000,33.8800000
SNGS,60,20210216,150000,33.9100000
SNGS,60,20210216,160000,34.0050000
SNGS,60,20210216,170000,33.9250000
SNGS,60,20210216,180000,33.9300000
SNGS,60,20210216,190000,33.9850000
SNGS,60,20210216,200000,33.8500000
SNGS,60,20210216,210000,33.8850000
SNGS,60,20210216,220000,33.9050000
SNGS,60,20210216,230000,33.9150000
SNGS,60,20210217,000000,33.9350000
SNGS,60,20210217,110000,33.9950000
SNGS,60,20210217,120000,34.3050000
SNGS,60,20210217,130000,34.1550000
SNGS,60,20210217,140000,34.2100000
SNGS,60,20210217,150000,34.2700000
SNGS,60,20210217,160000,34.4550000
SNGS,60,20210217,170000,34.3300000
SNGS,60,20210217,180000,34.0950000
SNGS,60,20210217,190000,34.0000000
SNGS,60,20210217,200000,33.9150000
SNGS,60,20210217,210000,33.9950000
SNGS,60,20210217,220000,34.1150000
SNGS,60,20210217,230000,34.1300000
SNGS,60,20210218,000000,34.1950000
SNGS,60,20210218,110000,34.1850000
SNGS,60,20210218,120000,34.1900000
SNGS,60,20210218,130000,34.1350000
SNGS,60,20210218,140000,33.9650000
SNGS,60,20210218,150000,34.0200000
SNGS,60,20210218,160000,33.9850000
SNGS,60,20210218,170000,33.8200000
SNGS,60,20210218,180000,33.7500000
SNGS,60,20210218,190000,33.4500000
SNGS,60,20210218,200000,33.5100000
SNGS,60,20210218,210000,33.5550000
SNGS,60,20210218,220000,33.5100000
SNGS,60,20210218,230000,33.5800000
SNGS,60,20210219,000000,33.4950000
SNGS,60,20210219,110000,33.4850000
SNGS,60,20210219,120000,33.3850000
SNGS,60,20210219,130000,33.5750000
SNGS,60,20210219,140000,33.5350000
SNGS,60,20210219,150000,33.4650000
SNGS,60,20210219,160000,33.5950000
SNGS,60,20210219,170000,33.7100000
SNGS,60,20210219,180000,33.9350000
SNGS,60,20210219,190000,33.8750000
SNGS,60,20210219,200000,33.9000000
SNGS,60,20210219,210000,33.8500000
SNGS,60,20210219,220000,33.8250000
SNGS,60,20210219,230000,33.7600000
SNGS,60,20210220,000000,33.8300000
SNGS,60,20210220,110000,33.9200000
SNGS,60,20210220,120000,33.9450000
SNGS,60,20210220,130000,33.8700000
SNGS,60,20210220,140000,33.8600000
SNGS,60,20210220,150000,33.8250000
SNGS,60,20210220,160000,33.7850000
SNGS,60,20210220,170000,33.8200000
SNGS,60,20210220,180000,33.8550000
SNGS,60,20210220,190000,33.7650000
SNGS,60,20210220,200000,33.8400000
SNGS,60,20210220,210000,33.8400000
SNGS,60,20210220,220000,33.8300000
SNGS,60,20210220,230000,33.8450000
SNGS,60,20210221,000000,33.8250000
SNGS,60,20210222,110000,33.6400000
SNGS,60,20210222,120000,33.5800000
SNGS,60,20210222,130000,33.6200000
SNGS,60,20210222,140000,33.6200000
SNGS,60,20210222,150000,33.5650000
SNGS,60,20210222,160000,33.6200000
SNGS,60,20210222,170000,33.6650000
SNGS,60,20210222,180000,33.7550000
SNGS,60,20210222,190000,33.6300000
SNGS,60,20210222,200000,33.7900000
SNGS,60,20210222,210000,33.8700000
SNGS,60,20210222,220000,33.8850000
SNGS,60,20210222,230000,33.8700000
SNGS,60,20210223,000000,33.8300000
SNGS,60,20210224,110000,33.9000000
SNGS,60,20210224,120000,33.9050000
SNGS,60,20210224,130000,33.9300000
SNGS,60,20210224,140000,33.9700000
SNGS,60,20210224,150000,34.0450000
SNGS,60,20210224,160000,33.9100000
SNGS,60,20210224,170000,33.6650000
SNGS,60,20210224,180000,33.5850000
SNGS,60,20210224,190000,33.5900000
SNGS,60,20210224,200000,33.6550000
SNGS,60,20210224,210000,33.6450000
SNGS,60,20210224,220000,33.7150000
SNGS,60,20210224,230000,33.7400000
SNGS,60,20210225,000000,33.8050000
SNGS,60,20210225,110000,33.7650000
SNGS,60,20210225,120000,33.7000000
SNGS,60,20210225,130000,33.7950000
SNGS,60,20210225,140000,33.6550000
SNGS,60,20210225,150000,33.6350000
SNGS,60,20210225,160000,33.6400000
SNGS,60,20210225,170000,33.6600000
SNGS,60,20210225,180000,33.8400000
SNGS,60,20210225,190000,33.6800000
SNGS,60,20210225,200000,33.6900000
SNGS,60,20210225,210000,33.6500000
SNGS,60,20210225,220000,33.6450000
SNGS,60,20210225,230000,33.6450000
SNGS,60,20210226,000000,33.5900000
SNGS,60,20210226,110000,33.5750000
SNGS,60,20210226,120000,33.4550000
SNGS,60,20210226,130000,33.2600000
SNGS,60,20210226,140000,33.0750000
SNGS,60,20210226,150000,32.9850000
SNGS,60,20210226,160000,32.9000000
SNGS,60,20210226,170000,32.9000000
SNGS,60,20210226,180000,32.5000000
SNGS,60,20210226,190000,32.4850000
SNGS,60,20210226,200000,32.4050000
SNGS,60,20210226,210000,32.4800000
SNGS,60,20210226,220000,32.5400000
SNGS,60,20210226,230000,32.5350000
SNGS,60,20210227,000000,32.5000000
