<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
MOEX.SPBE:TQBR,60,20211220,150000,1002.4000000
MOEX.SPBE:TQBR,60,20211220,160000,997.4000000
MOEX.SPBE:TQBR,60,20211220,170000,999.7000000
MOEX.SPBE:TQBR,60,20211220,180000,999.1000000
MOEX.SPBE:TQBR,60,20211220,190000,998.8000000
MOEX.SPBE:TQBR,60,20211220,200000,999.8000000
MOEX.SPBE:TQBR,60,20211220,210000,999.3000000
MOEX.SPBE:TQBR,60,20211220,220000,999.6000000
MOEX.SPBE:TQBR,60,20211220,230000,999.0000000
MOEX.SPBE:TQBR,60,20211221,000000,998.1000000
MOEX.SPBE:TQBR,60,20211221,110000,998.4000000
MOEX.SPBE:TQBR,60,20211221,120000,995.3000000
MOEX.SPBE:TQBR,60,20211221,130000,994.4000000
MOEX.SPBE:TQBR,60,20211221,140000,994.0000000
MOEX.SPBE:TQBR,60,20211221,150000,991.6000000
MOEX.SPBE:TQBR,60,20211221,160000,991.0000000
MOEX.SPBE:TQBR,60,20211221,170000,991.8000000
MOEX.SPBE:TQBR,60,20211221,180000,989.0000000
MOEX.SPBE:TQBR,60,20211221,190000,989.1000000
MOEX.SPBE:TQBR,60,20211221,200000,993.6000000
MOEX.SPBE:TQBR,60,20211221,210000,993.7000000
MOEX.SPBE:TQBR,60,20211221,220000,995.0000000
MOEX.SPBE:TQBR,60,20211221,230000,994.9000000
MOEX.SPBE:TQBR,60,20211222,000000,995.8000000
MOEX.SPBE:TQBR,60,20211222,110000,989.9000000
MOEX.SPBE:TQBR,60,20211222,120000,990.0000000
MOEX.SPBE:TQBR,60,20211222,130000,989.6000000
MOEX.SPBE:TQBR,60,20211222,140000,990.0000000
MOEX.SPBE:TQBR,60,20211222,150000,989.6000000
MOEX.SPBE:TQBR,60,20211222,160000,986.0000000
MOEX.SPBE:TQBR,60,20211222,170000,985.8000000
MOEX.SPBE:TQBR,60,20211222,180000,987.3000000
MOEX.SPBE:TQBR,60,20211222,190000,984.5000000
MOEX.SPBE:TQBR,60,20211222,200000,985.1000000
MOEX.SPBE:TQBR,60,20211222,210000,985.0000000
MOEX.SPBE:TQBR,60,20211222,220000,983.0000000
MOEX.SPBE:TQBR,60,20211222,230000,983.6000000
MOEX.SPBE:TQBR,60,20211223,000000,987.3000000
MOEX.SPBE:TQBR,60,20211223,110000,978.6000000
MOEX.SPBE:TQBR,60,20211223,120000,973.3000000
MOEX.SPBE:TQBR,60,20211223,130000,969.7000000
MOEX.SPBE:TQBR,60,20211223,140000,970.0000000
MOEX.SPBE:TQBR,60,20211223,150000,969.5000000
MOEX.SPBE:TQBR,60,20211223,160000,958.9000000
MOEX.SPBE:TQBR,60,20211223,170000,953.1000000
MOEX.SPBE:TQBR,60,20211223,180000,949.4000000
MOEX.SPBE:TQBR,60,20211223,190000,949.8000000
MOEX.SPBE:TQBR,60,20211223,200000,950.0000000
MOEX.SPBE:TQBR,60,20211223,210000,950.0000000
MOEX.SPBE:TQBR,60,20211223,220000,972.0000000
